Unnamed: 0,CODE,NAME,SECT._x,STOCK NO.,CAPT.,SECT._y
206,004970,신라교역,어로 어업,"16,000,000","8,000,000,000",식품
207,004980,성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업","24,516,073","128,508,590,000",건축자재
209,005010,휴스틸,1차 철강 제조업,"7,621,668","38,108,340,000",철강
210,005030,부산주공,자동차 신품 부품 제조업,"42,397,604","21,198,802,000",자동차부품
211,005070,코스모신소재,기타 화학제품 제조업,"29,247,965","29,247,965,000",화학
212,005090,삼광글라스,유리 및 유리제품 제조업,"4,854,418","24,272,090,000",포장재
213,005110,한창,기계장비 및 관련 물품 도매업,"34,790,269","17,395,134,500",부동산
214,005180,빙그레,낙농제품 및 식용빙과류 제조업,"9,851,241","49,756,205,000",식품
215,005190,동성화학,기초 화학물질 제조업,"5,335,564","5,531,244,000",화학
217,005300,롯데칠성음료,비알코올음료 및 얼음 제조업,"7,993,460","4,384,385,000",음료
218,005320,국동,생활용품 도매업,"38,026,114","19,013,057,000","섬유,의류,신발,호화품"
219,005360,모나미,생활용품 도매업,"18,897,307","18,897,307,000",문구류
220,005380,현대자동차,자동차용 엔진 및 자동차 제조업,"213,668,187","1,488,993,125,000",자동차
221,005390,신성통상,기타 전문 도매업,"143,708,390","71,854,195,000","섬유,의류,신발,호화품"
222,005420,코스모화학,기타 화학제품 제조업,"26,110,825","26,110,825,000",화학
223,005430,한국공항,기타 운송관련 서비스업,"3,166,355","15,831,775,000",운송인프라
224,005440,현대그린푸드,종합 소매업,"97,704,482","48,852,241,000",식품과기본식료품소매
225,005490,포스코,1차 철강 제조업,"87,186,835","482,403,125,000",철강
226,005500,삼진제약,의약품 제조업,"13,900,000","13,900,000,000",제약
227,005610,SPC삼립,기타 식품 제조업,"8,629,009","43,145,045,000",식품
228,005680,삼영전자공업,전자부품 제조업,"20,000,000","10,000,000,000",전기제품
229,005690,파미셀,기초 의약물질 및 생물학적 제제 제조업,"59,958,950","29,979,475,000",화학
230,005720,넥센,고무제품 제조업,"53,543,977","28,572,288,500",자동차부품
232,005750,대림비앤코,"내화, 비내화 요업제품 제조업","16,672,240","16,672,240,000",건축제품
233,005800,신영와코루,봉제의복 제조업,"900,000","4,500,000,000","섬유,의류,신발,호화품"
235,005820,원림,직물직조 및 직물제품 제조업,"2,200,000","11,000,000,000",포장재
237,005850,에스엘,자동차 신품 부품 제조업,"48,203,277","24,101,638,500",자동차부품
238,005870,휴니드테크놀러지스,통신 및 방송 장비 제조업,"14,116,015","70,580,075,000",우주항공과국방
239,005880,대한해운,해상 운송업,"24,427,109","122,135,545,000",해운사
240,005930,삼성전자,통신 및 방송 장비 제조업,"5,969,782,550","897,513,820,000",반도체와반도체장비
242,005950,이수화학,기초 화학물질 제조업,"15,278,000","76,390,000,000",화학
243,005960,동부건설,토목 건설업,"22,701,669","114,637,005,000",건설
244,006040,동원산업,어로 어업,"3,677,641","18,388,205,000",식품
245,006060,화승인더스트리,플라스틱제품 제조업,"55,320,000","27,660,000,000","섬유,의류,신발,호화품"
246,006090,사조오양,수산물 가공 및 저장 처리업,"9,422,739","47,113,695,000",식품
247,006110,삼아알미늄,1차 비철금속 제조업,"11,000,000","5,500,000,000",비철금속
252,006280,녹십자,의약품 제조업,"11,686,538","58,432,690,000",제약
253,006340,대원전선,절연선 및 케이블 제조업,"68,107,171","35,364,185,500",전기장비
254,006360,GS건설,건물 건설업,"80,097,804","400,489,020,000",건설
255,006370,대구백화점,종합 소매업,"10,821,611","54,108,055,000",백화점과일반상점
256,006380,카프로,기초 화학물질 제조업,"40,000,000","20,000,000,000",화학
257,006390,한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","16,821,290","84,106,450,000",건축자재
258,006400,삼성SDI,일차전지 및 축전지 제조업,"68,764,530","356,712,130,000",전기제품
259,006490,인스코비,전기 통신업,"98,630,240","49,315,120,000",다각화된통신서비스
260,006570,대림통상,기타 금속 가공제품 제조업,"15,225,000","16,425,000,000",건축제품
261,006650,대한유화,기초 화학물질 제조업,"6,500,000","41,000,000,000",화학
262,006660,삼성공조,자동차 신품 부품 제조업,"8,126,314","4,063,157,000",자동차부품
263,006740,영풍제지,"골판지, 종이 상자 및 종이용기 제조업","22,200,000","11,100,000,000",종이와목재
266,006880,신송홀딩스,산업용 농·축산물 및 동·식물 도매업,"11,828,858","5,914,429,000",식품과기본식료품소매
267,006890,태경케미컬,기초 화학물질 제조업,"11,600,000","5,800,000,000",화학
268,006980,우성사료,"곡물가공품, 전분 및 전분제품 제조업","30,900,000","15,450,000,000",식품
269,007070,GS리테일,종합 소매업,"77,000,000","77,000,000,000",백화점과일반상점
270,007110,일신석재,"건축자재, 철물 및 난방장치 도매업","77,456,610","38,728,305,000",건축자재
271,007120,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","129,484,148","12,948,414,800",IT서비스
272,007160,사조산업,어로 어업,"5,000,000","25,000,000,000",식품
273,007210,벽산,기타 비금속 광물제품 제조업,"68,560,000","34,280,000,000",건축자재
274,007280,한국특수형강,1차 철강 제조업,"32,353,490","16,176,745,000",철강
275,007310,오뚜기,기타 식품 제조업,"3,605,237","18,026,185,000",식품
276,007340,디티알오토모티브,일차전지 및 축전지 제조업,"9,994,005","4,997,002,500",자동차부품
277,007460,에이프로젠 KIC,기타 금속 가공제품 제조업,"178,678,039","89,339,019,500",기계
279,007570,일양약품,의약품 제조업,"19,085,664","48,826,860,000",제약
280,007590,동방아그로,"비료, 농약 및 살균, 살충제 제조업","13,617,577","6,808,788,500",화학
281,007610,선도전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","18,000,000","9,000,000,000",전기장비
282,007630,폴루스바이오팜,상품 중개업,"39,311,572","19,655,786,000",화장품
283,007660,이수페타시스,전자부품 제조업,"41,268,398","41,268,398,000",전자장비와기기
284,007690,국도화학,기초 화학물질 제조업,"5,810,616","29,053,080,000",화학
285,007700,F&F,봉제의복 제조업,"15,400,000","7,700,000,000","섬유,의류,신발,호화품"
286,007810,코리아써키트,전자부품 제조업,"23,620,751","13,684,570,000",전자장비와기기
288,007980,태평양물산,봉제의복 제조업,"48,149,587","24,955,871,000","섬유,의류,신발,호화품"
289,008040,사조동아원,"곡물가공품, 전분 및 전분제품 제조업","141,144,600","70,572,300,000",식품
290,008060,대덕,전자부품 제조업,"28,590,047","14,901,202,000",전자장비와기기
291,008110,대동전자,통신 및 방송 장비 제조업,"10,490,447","5,245,223,500",전자장비와기기
292,008250,이건산업,나무제품 제조업,"10,952,635","54,763,175,000",건축자재
293,008260,NI스틸,1차 철강 제조업,"28,600,117","14,300,058,500",철강
294,008350,남선알미늄,1차 비철금속 제조업,"110,179,090","55,243,490,000",건축제품
295,008420,문배철강,1차 철강 제조업,"20,503,505","10,251,752,500",철강
296,008490,서흥,기타 화학제품 제조업,"11,569,113","6,084,556,500",생명과학도구및서비스
297,008500,일정실업,편조원단 제조업,"1,200,000","6,000,000,000",자동차부품
299,008600,윌비스,생활용품 도매업,"64,894,721","70,540,861,000","섬유,의류,신발,호화품"
300,008700,아남전자,영상 및 음향기기 제조업,"77,124,820","38,562,410,000",전자제품
301,008730,율촌화학,플라스틱제품 제조업,"24,800,000","14,776,380,000",포장재
302,008770,호텔신라,기타 상품 전문 소매업,"39,248,121","200,000,000,000","호텔,레스토랑,레저"
303,008870,금비,유리 및 유리제품 제조업,"1,000,000","5,000,000,000",포장재
305,008970,동양철관,1차 철강 제조업,"118,885,290","59,442,645,000",철강
306,009070,케이씨티시,도로 화물 운송업,"30,000,000","15,000,000,000",항공화물운송과물류
307,009140,경인전자,전자부품 제조업,"1,570,797","7,853,985,000",전자제품
308,009150,삼성전기,전자부품 제조업,"74,693,696","388,003,400,000",전자장비와기기
309,009160,SIMPAC,특수 목적용 기계 제조업,"65,429,516","32,714,758,000",기계
310,009180,한솔로지스틱스,기타 운송관련 서비스업,"27,477,425","14,340,941,000",항공화물운송과물류
311,009190,대양금속,1차 철강 제조업,"29,565,939","14,782,969,500",비철금속
312,009200,무림페이퍼,"펄프, 종이 및 판지 제조업","41,609,310","104,023,275,000",종이와목재
313,009240,한샘,생활용품 도매업,"23,533,928","23,533,928,000",가구
314,009270,신원,봉제의복 제조업,"85,042,499","42,566,619,500","섬유,의류,신발,호화품"
315,009290,광동제약,의약품 제조업,"52,420,851","52,420,851,000",제약
316,009310,참엔지니어링,특수 목적용 기계 제조업,"55,361,480","28,105,738,500",디스플레이장비및부품
317,009320,대우부품,자동차 신품 부품 제조업,"47,646,375","23,823,187,500",자동차부품
318,009410,태영건설,토목 건설업,"76,400,000","39,478,740,000",건설
319,009420,한올바이오파마,의약품 제조업,"52,240,638","26,120,319,000",제약
321,009450,경동나비엔,가정용 기기 제조업,"12,739,510","12,739,510,000",가정용기기와용품
322,009460,한창제지,"펄프, 종이 및 판지 제조업","59,667,486","29,833,743,000",포장재
323,009470,삼화전기,전자부품 제조업,"6,613,820","6,613,820,000",전기제품
324,009540,한국조선해양,선박 및 보트 건조업,"70,773,116","353,865,580,000",조선
325,009580,무림P&P,"펄프, 종이 및 판지 제조업","62,368,324","155,920,810,000",종이와목재
326,009680,모토닉,자동차 신품 부품 제조업,"33,000,000","16,500,000,000",자동차부품
327,009770,삼정펄프,"펄프, 종이 및 판지 제조업","2,499,971","12,499,855,000",가정용품
328,009810,엔케이물산,기타 전문 도매업,"83,578,428","41,789,214,000",방송과엔터테인먼트
329,009830,한화솔루션,기초 화학물질 제조업,"159,864,497","821,170,655,000",화학
331,010040,한국내화,"내화, 비내화 요업제품 제조업","22,863,632","11,431,816,000",비철금속
333,010060,OCI,기초 화학물질 제조업,"23,849,371","127,246,855,000",화학
334,010100,한국프랜지공업,자동차 신품 부품 제조업,"30,450,420","30,450,420,000",자동차부품
335,010120,엘에스일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","30,000,000","150,000,000,000",전기장비
336,010130,고려아연,1차 비철금속 제조업,"18,870,000","94,350,000,000",비철금속
337,010140,삼성중공업,선박 및 보트 건조업,"630,000,000","3,150,574,225,000",조선
338,010400,우진아이엔에스,건물설비 설치 공사업,"7,622,000","3,811,000,000",건설
339,010420,한솔피엔에스,기타 전문 도매업,"20,493,012","10,246,506,000",종이와목재
340,010580,지코,자동차 신품 부품 제조업,"64,581,636","32,290,818,000",자동차부품
341,010600,웰바이오텍,상품 중개업,"43,229,886","21,614,943,000","섬유,의류,신발,호화품"
342,010620,현대미포조선,선박 및 보트 건조업,"39,942,149","199,710,745,000",조선
343,010640,진양폴리우레탄,플라스틱제품 제조업,"10,000,000","5,000,000,000",화학
344,010660,화천기계,특수 목적용 기계 제조업,"22,000,000","11,000,000,000",기계
345,010690,화신,자동차 신품 부품 제조업,"34,920,410","17,460,205,000",자동차부품
346,010770,평화홀딩스,자동차 신품 부품 제조업,"14,625,466","7,312,733,000",자동차부품
347,010780,아이에스동서,"내화, 비내화 요업제품 제조업","30,892,606","15,446,303,000",건설
348,010820,퍼스텍,무기 및 총포탄 제조업,"48,061,460","24,030,730,000",우주항공과국방
349,010950,S-Oil,석유 정제품 제조업,"112,582,792","291,511,797,500",석유와가스
350,010960,삼호개발,기반조성 및 시설물 축조관련 전문공사업,"25,000,000","12,500,000,000",건설
351,011000,진원생명과학,의약품 제조업,"44,618,808","44,618,808,000",생물공학
352,011070,LG이노텍,전자부품 제조업,"23,667,107","118,335,535,000",전자장비와기기
353,011090,에넥스,가구 제조업,"59,991,641","29,995,820,500",가구
354,011150,CJ씨푸드,기타 식품 제조업,"35,930,773","18,065,386,500",식품
355,011170,롯데케미칼,기초 화학물질 제조업,"34,275,419","171,377,095,000",화학
356,011200,HMM,해상 운송업,"326,726,323","1,633,631,615,000",해운사
357,011210,현대위아,자동차 신품 부품 제조업,"27,195,083","135,975,415,000",자동차부품
358,011230,삼화전자공업,영상 및 음향기기 제조업,"10,457,940","10,457,940,000",전자장비와기기
359,011280,태림포장,"골판지, 종이 상자 및 종이용기 제조업","70,805,940","35,402,970,000",포장재
360,011300,성안,직물직조 및 직물제품 제조업,"56,857,860","28,428,930,000","섬유,의류,신발,호화품"
361,011330,유니켐,"가죽, 가방 및 유사제품 제조업","68,710,343","34,355,171,500","섬유,의류,신발,호화품"
362,011390,부산산업,"시멘트, 석회, 플라스터 및 그 제품 제조업","1,056,000","5,280,000,000",건축자재
363,011420,갤럭시아에스엠,스포츠 서비스업,"27,549,644","13,774,822,000",방송과엔터테인먼트
364,011500,한농화성,기타 화학제품 제조업,"15,637,042","7,818,521,000",화학
365,011690,유양디앤유,반도체 제조업,"58,494,201","29,247,100,500",디스플레이장비및부품
366,011700,한신기계공업,일반 목적용 기계 제조업,"32,446,151","16,223,075,500",기계
367,011760,현대종합상사,상품 종합 도매업,"13,228,966","66,144,830,000",무역회사와판매업체
368,011780,금호석유화학,기초 화학물질 제조업,"30,467,691","167,455,885,000",화학
369,011790,SKC,기타 화학제품 제조업,"37,534,555","187,672,775,000",화학
370,011810,STX,상품 종합 도매업,"19,726,902","49,317,255,000",무역회사와판매업체
371,011930,신성이엔지,반도체 제조업,"184,525,352","92,372,676,000",반도체와반도체장비
372,012030,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500",IT서비스
373,012160,영흥,1차 철강 제조업,"85,826,509","42,913,254,500",철강
374,012170,키위미디어그룹,"영화, 비디오물, 방송프로그램 제작 및 배급업","197,284,650","98,642,325,000",방송과엔터테인먼트
375,012200,계양전기,일반 목적용 기계 제조업,"32,600,000","17,000,000,000",자동차부품
376,012280,영화금속,자동차 신품 부품 제조업,"45,451,006","23,597,333,000",자동차부품
378,012330,현대모비스,자동차 신품 부품 제조업,"95,054,694","490,969,315,000",자동차부품
379,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업","50,630,000","265,650,000,000",우주항공과국방
380,012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","29,672,700","14,836,350,000",소프트웨어
381,012600,청호컴넷,일반 목적용 기계 제조업,"8,576,351","42,881,755,000",컴퓨터와주변기기
382,012610,경인양행,기초 화학물질 제조업,"41,196,365","20,598,182,500",화학
384,012690,모나리자,기타 종이 및 판지 제품 제조업,"36,571,255","18,885,627,500",가정용품
385,012750,에스원,"경비, 경호 및 탐정업","37,999,178","18,999,589,000",상업서비스와공급품
386,012800,대창,1차 비철금속 제조업,"91,140,499","45,570,249,500",비철금속
387,013000,세우글로벌,기타 전문 도매업,"28,705,031","14,352,515,500",판매업체
388,013360,일성건설,토목 건설업,"54,024,880","27,012,440,000",건설
389,013520,화승알앤에이,자동차 신품 부품 제조업,"64,561,210","32,280,605,000",자동차부품
391,013580,계룡건설산업,토목 건설업,"8,930,907","44,654,535,000",건설
392,013700,까뮤이앤씨,건물 건설업,"45,152,280","22,576,140,000",건설
393,013870,지엠비코리아,자동차 신품 부품 제조업,"19,072,280","9,536,140,000",자동차부품
394,013890,지누스,가구 제조업,"14,406,749","7,203,374,500",가구
395,014130,한익스프레스,도로 화물 운송업,"12,000,000","6,000,000,000",항공화물운송과물류
396,014160,대영포장,"골판지, 종이 상자 및 종이용기 제조업","108,394,549","54,197,274,500",포장재
397,014280,금강공업,1차 철강 제조업,"26,159,553","26,749,428,000",건축제품
398,014440,영보화학,플라스틱제품 제조업,"20,000,000","10,000,000,000",화학
399,014530,극동유화,석유 정제품 제조업,"34,869,420","17,434,710,000",석유와가스
400,014580,태경비케이,"시멘트, 석회, 플라스터 및 그 제품 제조업","27,583,100","13,791,550,000",비철금속
401,014680,한솔케미칼,기초 화학물질 제조업,"11,295,195","56,475,975,000",화학
