Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,2017.12,2018.12,2019.12,2020.12(E),2019.06,2019.09,2019.12,2020.03,2020.06,2020.09(E)
111,002460,화성산업,건물 건설업,"12,450,800","62,254,000,000",590.0,671.0,296.0,N/A,34.0,63.0,63.0,136.0,232.0,N/A
112,002600,조흥,기타 식품 제조업,"600,000","3,000,000,000",141.0,114.0,123.0,N/A,32.0,35.0,31.0,23.0,21.0,N/A
114,002630,오리엔트바이오,의약품 제조업,"101,798,996","50,899,498,000",-79,-101,-112.0,N/A,-23.0,-69.0,-5.0,-15.0,-1.0,N/A
115,002690,동일제강,1차 철강 제조업,"15,000,000","7,500,000,000",11.0,-3,10.0,N/A,5.0,-5.0,9.0,-5.0,11.0,N/A
116,002700,신일전자,기계장비 및 관련 물품 도매업,"71,047,521","35,523,760,500",106.0,148.0,16.0,N/A,36.0,12.0,-18.0,-12,66.0,N/A
117,002710,TCC스틸,1차 철강 제조업,"23,000,000","23,000,000,000",81,171.0,129.0,N/A,39.0,49.0,37.0,3.0,-12.0,N/A
118,002720,국제약품,의약품 제조업,"18,400,520","18,400,520,000",26.0,33.0,56,N/A,14.0,12.0,4.0,61.0,13.0,N/A
119,002760,보락,기타 화학제품 제조업,"59,900,000","11,980,000,000",13.0,13.0,6.0,N/A,6.0,-,3.0,1.0,-,N/A
120,002780,진흥기업,토목 건설업,"145,471,745","73,311,885,500",416,351,280,N/A,79.0,80.0,53.0,21.0,48.0,N/A
121,002790,아모레퍼시픽그룹,기타 화학제품 제조업,"82,458,180","47,997,075,000",7315.0,5495.0,4982.0,2409.0,2048.0,1104.0,1205.0,625.0,679.0,444.0
122,002810,삼영무역,기타 전문 도매업,"18,466,948","9,233,474,000",99.0,68.0,92.0,N/A,26.0,17.0,29.0,51.0,49.0,N/A
123,002820,선창산업,나무제품 제조업,"12,607,989","12,607,989,000",-8,-50.0,-187,N/A,-14.0,-20.0,-87.0,-67.0,-36.0,N/A
124,002840,미원상사,기타 화학제품 제조업,"4,970,000","6,661,780,000",110,272.0,323.0,N/A,44.0,107.0,96.0,76.0,88.0,N/A
125,002870,신풍제지,"펄프, 종이 및 판지 제조업","34,958,700","17,479,350,000",-21,122.0,114.0,N/A,41.0,50.0,17.0,-41.0,-22.0,N/A
126,002880,대유에이텍,자동차 신품 부품 제조업,"106,915,987","53,457,993,500",184.0,67,313,N/A,55.0,119.0,280.0,-146.0,79.0,N/A
127,002900,동양물산기업,특수 목적용 기계 제조업,"126,004,610","63,002,305,000",-19.0,-54.0,137,N/A,62.0,4.0,-1.0,71.0,141.0,N/A
128,002920,유성기업,자동차 신품 부품 제조업,"25,947,500","12,973,750,000",32.0,18.0,122.0,N/A,25.0,22.0,21.0,33.0,-37.0,N/A
129,002960,한국쉘석유,석유 정제품 제조업,"1,300,000","7,000,000,000",300.0,310.0,257.0,N/A,79.0,66.0,51.0,81.0,79.0,N/A
130,002990,금호산업,건물 건설업,"36,633,924","184,630,950,000",311.0,423.0,555.0,780.0,146.0,167.0,173.0,166.0,182.0,199.0
131,003000,부광약품,의약품 제조업,"64,837,978","33,289,457,500",77.0,351.0,95.0,N/A,17.0,38.0,-21.0,61.0,8.0,34.0
132,003010,혜인,기계장비 및 관련 물품 도매업,"12,712,747","6,356,373,500",25.0,62.0,118.0,N/A,16.0,44.0,30.0,-8.0,22.0,N/A
134,003060,에이프로젠제약,의약품 제조업,"398,575,766","199,287,883,000",-15,-8,-20,N/A,-2.0,-8.0,-,-5.0,-7.0,N/A
135,003070,코오롱글로벌,토목 건설업,"25,210,438","127,616,205,000",725.0,768.0,1256.0,1566.0,281.0,278.0,284.0,412.0,307.0,356.0
