Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
122,002810,삼영무역,기타 전문 도매업,"18,466,948","9,233,474,000",14000.0,13700.0,N/A,7.91,1771.0,N/A,N/A,0.68,20560.0,2.38
123,002820,선창산업,나무제품 제조업,"12,607,989","12,607,989,000",3405.0,3480.0,N/A,N/A,-2116.0,N/A,N/A,0.19,18320.0,N/A
124,002840,미원상사,기타 화학제품 제조업,"4,970,000","6,661,780,000",87100.0,84600.0,N/A,11.84,7356.0,N/A,N/A,1.87,46653.0,0.75
125,002870,신풍제지,"펄프, 종이 및 판지 제조업","34,958,700","17,479,350,000",1330.0,1360.0,N/A,5.41,246.0,N/A,N/A,0.59,2243.0,4.51
126,002880,대유에이텍,자동차 신품 부품 제조업,"106,915,987","53,457,993,500",638.0,631.0,N/A,25.52,25.0,N/A,N/A,0.67,949.0,N/A
127,002900,동양물산기업,특수 목적용 기계 제조업,"126,004,610","63,002,305,000",1070.0,1060.0,N/A,16.46,65.0,N/A,N/A,1.09,982.0,N/A
128,002920,유성기업,자동차 신품 부품 제조업,"25,947,500","12,973,750,000",2375.0,2360.0,N/A,6.73,353.0,N/A,N/A,0.22,10573.0,8.42
129,002960,한국쉘석유,석유 정제품 제조업,"1,300,000","7,000,000,000",238000.0,236000.0,N/A,13.95,17056.0,N/A,N/A,3.45,68899.0,6.72
130,002990,금호산업,건물 건설업,"36,633,924","184,630,950,000",7010.0,6850.0,N/A,5.7,1230.0,5.0,1480.0,0.65,10734.0,7.13
131,003000,부광약품,의약품 제조업,"64,837,978","33,289,457,500",36000.0,37500.0,N/A,N/A,-166.0,N/A,N/A,7.84,4592.0,0.53
132,003010,혜인,기계장비 및 관련 물품 도매업,"12,712,747","6,356,373,500",4680.0,4695.0,N/A,4680.0,1.0,N/A,N/A,0.5,9301.0,1.28
134,003060,에이프로젠제약,의약품 제조업,"398,575,766","199,287,883,000",1405.0,1370.0,N/A,127.73,11.0,N/A,N/A,1.42,986.0,N/A
135,003070,코오롱글로벌,토목 건설업,"25,210,438","127,616,205,000",14150.0,12700.0,N/A,6.86,2064.0,N/A,N/A,0.75,18855.0,2.47
136,003080,성보화학,"비료, 농약 및 살균, 살충제 제조업","20,020,000","10,010,000,000",4195.0,4210.0,N/A,N/A,-125.0,N/A,N/A,0.56,7499.0,3.22
138,003120,일성신약,의약품 제조업,"2,660,000","13,300,000,000",80400.0,81800.0,N/A,61.28,1312.0,N/A,N/A,0.36,224260.0,0.93
