CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
118990,모트렉스,자동차 신품 부품 제조업,"37,336,531","3,733,653,100",,,,N/A,-1010,N/A,N/A,1.05,3266,N/A
119500,포메탈,기타 금속 가공제품 제조업,"11,847,232","6,012,340,000",,,,17.3,196,N/A,N/A,0.9,3785,1.77
119610,인터로조,의료용 기기 제조업,"11,676,938","5,838,469,000",,,,13.66,1599,N/A,N/A,1.9,11495,1.33
119830,아이텍,"그외 기타 전문, 과학 및 기술 서비스업","11,054,582","5,527,291,000",,,,N/A,-1094,N/A,N/A,1.15,5483,N/A
119850,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","16,295,828","8,428,349,000",,,,22.81,274,N/A,N/A,1.23,5072,0.8
119860,다나와,소프트웨어 개발 및 공급업,"13,074,822","6,537,411,000",,,,16,1847,15,1998,3.4,8699,1.35
120240,대정화금,기초 화학물질 제조업,"7,100,391","3,550,195,500",,,,30.78,869,N/A,N/A,1.58,16931,1.12
121440,골프존뉴딘홀딩스,상품 중개업,"42,836,818","21,418,409,000",,,,N/A,-556,N/A,N/A,0.57,10415,1.96
121600,나노신소재,기타 화학제품 제조업,"10,848,333","5,424,166,500",,,,102.73,403,N/A,N/A,4.83,8570,0.29
121800,비덴트,통신 및 방송 장비 제조업,"33,991,523","16,995,761,500",,,,N/A,-162,N/A,N/A,1.03,7470,N/A
121850,코이즈,플라스틱제품 제조업,"15,411,517","7,705,758,500",,,,16.81,69,N/A,N/A,0.95,1222,N/A
121890,에스디시스템,전자부품 제조업,"9,047,578","4,523,789,000",,,,N/A,-1214,N/A,N/A,0.86,857,N/A
122310,제노레이,의료용 기기 제조업,"14,553,844","7,276,922,000",,,,10.88,1011,N/A,N/A,2.63,4177,1.23
122350,삼기오토모티브,자동차 신품 부품 제조업,"36,648,340","3,664,834,000",,,,35.72,83,N/A,N/A,0.78,3823,N/A
122450,KMH,텔레비전 방송업,"22,667,982","11,434,247,500",,,,11.76,689,N/A,N/A,0.89,9143,0.86
122640,예스티,특수 목적용 기계 제조업,"14,421,149","7,210,574,500",,,,N/A,-1377,N/A,N/A,1.85,4646,N/A
122690,서진오토모티브,자동차 신품 부품 제조업,"19,541,246","9,770,623,000",,,,N/A,-776,N/A,N/A,0.4,4296,N/A
122870,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업,"18,281,909","9,140,954,500",,,,N/A,-1802,172,256,2.38,18488,N/A
122990,와이솔,전자부품 제조업,"28,171,941","14,085,970,500",,,,16.3,1000,19,868,1.33,12286,1.53
123010,아이에이네트웍스,전자부품 제조업,"40,245,144","4,024,514,400",,,,N/A,-268,N/A,N/A,10.24,189,N/A
123040,엠에스오토텍,자동차 신품 부품 제조업,"34,284,846","17,142,423,000",,,,28.39,211,N/A,N/A,1.28,4671,1.25
123330,제닉,기타 화학제품 제조업,"7,000,000","3,500,000,000",,,,N/A,-1602,N/A,N/A,1.02,3873,N/A
123410,코리아에프티,자동차 신품 부품 제조업,"27,841,064","2,784,106,400",,,,8.73,291,N/A,N/A,0.59,4282,2.36
123420,선데이토즈,소프트웨어 개발 및 공급업,"9,569,842","4,784,921,000",,,,31.41,839,10,2743,1.65,15955,N/A
123570,이엠넷,광고업,"22,276,078","11,138,039,000",,,,14.12,313,N/A,N/A,1.66,2659,0.68
123750,알톤스포츠,그외 기타 운송장비 제조업,"12,746,297","6,373,148,500",,,,N/A,-815,N/A,N/A,2.56,1291,N/A
123840,한일진공,특수 목적용 기계 제조업,"64,305,977","6,430,597,700",,,,N/A,-513,N/A,N/A,0.32,1792,N/A
123860,아나패스,반도체 제조업,"10,127,700","5,063,850,000",,,,N/A,-3167,N/A,N/A,5.53,4030,0.45
124500,아이티센,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","19,907,333","9,953,666,500",,,,74.94,81,N/A,N/A,2.42,2510,N/A
124560,태웅로직스,기타 운송관련 서비스업,"17,650,000","1,765,000,000",,,,5.59,630,N/A,N/A,1.33,2644,1.42
125210,아모그린텍,전자부품 제조업,"16,496,790","8,248,395,000",,,,104.01,137,N/A,N/A,5.95,2393,N/A
126600,코프라,합성고무 및 플라스틱 물질 제조업,"21,115,634","10,557,817,000",,,,8.04,445,N/A,N/A,0.67,5369,1.96
126640,화신정공,자동차 신품 부품 제조업,"36,373,887","3,637,388,700",,,,11.86,105,N/A,N/A,0.55,2246,2.41
126700,하이비젼시스템,사진장비 및 광학기기 제조업,"14,942,112","7,471,056,000",,,,42.41,303,N/A,N/A,1.44,8902,0.39
