,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,카카오,035720,354500.0,N/A,-2962.0,90.0,3920.0,5.41,65538.0,0.04
0,태림포장,011280,3590.0,15.28,235.0,N/A,N/A,0.8,4469.0,8.08
0,한세엠케이,069640,2530.0,N/A,-3398.0,N/A,N/A,0.29,8803.0,N/A
0,현대해상,001450,22650.0,7.21,3143.0,6.0,3971.0,0.39,57601.0,3.88
0,GS리테일,007070,33750.0,14.4,2343.0,13.0,2687.0,1.2,28167.0,2.22
0,경동도시가스,267290,16700.0,4.72,3536.0,N/A,N/A,0.29,57956.0,5.24
0,대림통상,006570,4585.0,N/A,-679.0,N/A,N/A,0.78,5843.0,3.05
0,동부건설,005960,11400.0,3.39,3360.0,N/A,N/A,0.6,18909.0,6.14
0,미원에스씨,268280,81000.0,10.27,7887.0,N/A,N/A,1.65,49016.0,2.1
0,세종공업,033530,6290.0,273.48,23.0,N/A,N/A,0.37,17060.0,0.8
0,SJM홀딩스,025530,2560.0,6.08,421.0,N/A,N/A,0.23,10984.0,6.84
0,일진홀딩스,015860,4940.0,11.54,428.0,N/A,N/A,0.79,6271.0,2.02
0,지투알,035000,5070.0,5.16,983.0,N/A,N/A,0.62,8228.0,5.92
0,한국주철관,000970,9240.0,16.74,552.0,N/A,N/A,0.74,12528.0,2.16
0,한올바이오파마,009420,30850.0,81.61,378.0,99.0,311.0,10.86,2842.0,N/A
0,효성첨단소재,298050,137000.0,N/A,-19449.0,-50.0,-2753.0,1.76,77646.0,N/A
0,KG동부제철,016380,12650.0,40.16,315.0,N/A,N/A,1.41,8947.0,N/A
0,SK디앤디,210980,34050.0,10.08,3379.0,8.0,4284.0,1.81,18838.0,1.76
0,고려산업,002140,3865.0,17.89,216.0,N/A,N/A,1.0,3861.0,0.78
0,대림씨엔에스,004440,7650.0,59.77,128.0,N/A,N/A,0.35,21888.0,0.5
0,동방,004140,1850.0,N/A,-234.0,N/A,N/A,0.69,2696.0,N/A
0,미원상사,002840,83200.0,11.31,7356.0,N/A,N/A,1.78,46653.0,0.79
0,새론오토모티브,075180,4160.0,N/A,-369.0,N/A,N/A,0.37,11183.0,3.37
0,아세아제지,002310,28650.0,4.14,6919.0,N/A,N/A,0.43,66436.0,2.09
0,오리온홀딩스,001800,12900.0,13.87,930.0,N/A,N/A,0.4,32238.0,5.04
0,일양약품,007570,84900.0,195.17,435.0,N/A,N/A,7.97,10651.0,0.14
0,코오롱,002020,19750.0,5.39,3661.0,N/A,N/A,0.42,46860.0,2.53
0,한국조선해양,009540,85400.0,20.36,4194.0,31.0,2740.0,0.52,165320.0,N/A
0,화승알앤에이,013520,1735.0,6.31,275.0,N/A,N/A,0.43,3992.0,1.44
