CODE,NAME,SECT.,STOCK NO.,CAPT.
5870,휴니드테크놀러지스,통신 및 방송 장비 제조업,"14,116,015","70,580,075,000"
5880,대한해운,해상 운송업,"24,427,109","122,135,545,000"
5930,삼성전자,통신 및 방송 장비 제조업,"5,969,782,550","897,513,820,000"
5940,NH투자증권,금융 지원 서비스업,"281,408,887","1,531,275,030,000"
5950,이수화학,기초 화학물질 제조업,"15,278,000","76,390,000,000"
5960,동부건설,토목 건설업,"22,701,669","114,637,005,000"
6040,동원산업,어로 어업,"3,677,641","18,388,205,000"
6060,화승인더스트리,플라스틱제품 제조업,"55,320,000","27,660,000,000"
6090,사조오양,수산물 가공 및 저장 처리업,"9,422,739","47,113,695,000"
6110,삼아알미늄,1차 비철금속 제조업,"11,000,000","5,500,000,000"
6280,녹십자,의약품 제조업,"11,686,538","58,432,690,000"
6340,대원전선,절연선 및 케이블 제조업,"68,107,171","35,364,185,500"
6360,GS건설,건물 건설업,"80,097,804","400,489,020,000"
6370,대구백화점,종합 소매업,"10,821,611","54,108,055,000"
6380,카프로,기초 화학물질 제조업,"40,000,000","20,000,000,000"
6390,한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","16,821,290","84,106,450,000"
6400,삼성SDI,일차전지 및 축전지 제조업,"68,764,530","356,712,130,000"
6490,인스코비,전기 통신업,"98,630,240","49,315,120,000"
6570,대림통상,기타 금속 가공제품 제조업,"15,225,000","16,425,000,000"
6650,대한유화,기초 화학물질 제조업,"6,500,000","41,000,000,000"
6660,삼성공조,자동차 신품 부품 제조업,"8,126,314","4,063,157,000"
6740,영풍제지,"골판지, 종이 상자 및 종이용기 제조업","22,200,000","11,100,000,000"
6800,미래에셋대우,금융 지원 서비스업,"645,316,408","4,101,960,790,000"
6880,신송홀딩스,산업용 농·축산물 및 동·식물 도매업,"11,828,858","5,914,429,000"
6890,태경케미컬,기초 화학물질 제조업,"11,600,000","5,800,000,000"
6980,우성사료,"곡물가공품, 전분 및 전분제품 제조업","30,900,000","15,450,000,000"
7070,GS리테일,종합 소매업,"77,000,000","77,000,000,000"
7110,일신석재,"건축자재, 철물 및 난방장치 도매업","77,456,610","38,728,305,000"
7120,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","129,484,148","12,948,414,800"
7160,사조산업,어로 어업,"5,000,000","25,000,000,000"
7210,벽산,기타 비금속 광물제품 제조업,"68,560,000","34,280,000,000"
7280,한국특수형강,1차 철강 제조업,"32,353,490","16,176,745,000"
7310,오뚜기,기타 식품 제조업,"3,605,237","18,026,185,000"
7340,디티알오토모티브,일차전지 및 축전지 제조업,"9,994,005","4,997,002,500"
7460,에이프로젠 KIC,기타 금속 가공제품 제조업,"178,678,039","89,339,019,500"
7570,일양약품,의약품 제조업,"19,085,664","48,826,860,000"
7590,동방아그로,"비료, 농약 및 살균, 살충제 제조업","13,617,577","6,808,788,500"
7610,선도전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","18,000,000","9,000,000,000"
7630,폴루스바이오팜,상품 중개업,"39,311,572","19,655,786,000"
7660,이수페타시스,전자부품 제조업,"41,268,398","41,268,398,000"
7690,국도화학,기초 화학물질 제조업,"5,810,616","29,053,080,000"
7700,F&F,봉제의복 제조업,"15,400,000","7,700,000,000"
7810,코리아써키트,전자부품 제조업,"23,620,751","13,684,570,000"
7980,태평양물산,봉제의복 제조업,"48,149,587","24,955,871,000"
8040,사조동아원,"곡물가공품, 전분 및 전분제품 제조업","141,144,600","70,572,300,000"
8060,대덕,전자부품 제조업,"28,590,047","14,901,202,000"
8110,대동전자,통신 및 방송 장비 제조업,"10,490,447","5,245,223,500"
8250,이건산업,나무제품 제조업,"10,952,635","54,763,175,000"
8260,NI스틸,1차 철강 제조업,"28,600,117","14,300,058,500"
8350,남선알미늄,1차 비철금속 제조업,"110,179,090","55,243,490,000"
8420,문배철강,1차 철강 제조업,"20,503,505","10,251,752,500"
8490,서흥,기타 화학제품 제조업,"11,569,113","6,084,556,500"
8500,일정실업,편조원단 제조업,"1,200,000","6,000,000,000"
8560,메리츠증권,금융 지원 서비스업,"675,961,727","675,961,727,000"
8600,윌비스,생활용품 도매업,"64,894,721","70,540,861,000"
8700,아남전자,영상 및 음향기기 제조업,"77,124,820","38,562,410,000"
8730,율촌화학,플라스틱제품 제조업,"24,800,000","14,776,380,000"
8770,호텔신라,기타 상품 전문 소매업,"39,248,121","200,000,000,000"
8870,금비,유리 및 유리제품 제조업,"1,000,000","5,000,000,000"
8970,동양철관,1차 철강 제조업,"118,885,290","59,442,645,000"
9070,케이씨티시,도로 화물 운송업,"30,000,000","15,000,000,000"
9140,경인전자,전자부품 제조업,"1,570,797","7,853,985,000"
9150,삼성전기,전자부품 제조업,"74,693,696","388,003,400,000"
9160,SIMPAC,특수 목적용 기계 제조업,"65,429,516","32,714,758,000"
9180,한솔로지스틱스,기타 운송관련 서비스업,"27,477,425","14,340,941,000"
9190,대양금속,1차 철강 제조업,"29,565,939","14,782,969,500"
9200,무림페이퍼,"펄프, 종이 및 판지 제조업","41,609,310","104,023,275,000"
9240,한샘,생활용품 도매업,"23,533,928","23,533,928,000"
9270,신원,봉제의복 제조업,"85,042,499","42,566,619,500"
9290,광동제약,의약품 제조업,"52,420,851","52,420,851,000"
9310,참엔지니어링,특수 목적용 기계 제조업,"55,361,480","28,105,738,500"
9320,대우부품,자동차 신품 부품 제조업,"47,646,375","23,823,187,500"
9410,태영건설,토목 건설업,"76,400,000","39,478,740,000"
9420,한올바이오파마,의약품 제조업,"52,240,638","26,120,319,000"
9450,경동나비엔,가정용 기기 제조업,"12,739,510","12,739,510,000"
9460,한창제지,"펄프, 종이 및 판지 제조업","59,667,486","29,833,743,000"
9470,삼화전기,전자부품 제조업,"6,613,820","6,613,820,000"
9540,한국조선해양,선박 및 보트 건조업,"70,773,116","353,865,580,000"
9580,무림P&P,"펄프, 종이 및 판지 제조업","62,368,324","155,920,810,000"
9680,모토닉,자동차 신품 부품 제조업,"33,000,000","16,500,000,000"
9770,삼정펄프,"펄프, 종이 및 판지 제조업","2,499,971","12,499,855,000"
9810,엔케이물산,기타 전문 도매업,"83,578,428","41,789,214,000"
9830,한화솔루션,기초 화학물질 제조업,"159,864,497","821,170,655,000"
10040,한국내화,"내화, 비내화 요업제품 제조업","22,863,632","11,431,816,000"
10060,OCI,기초 화학물질 제조업,"23,849,371","127,246,855,000"
10100,한국프랜지공업,자동차 신품 부품 제조업,"30,450,420","30,450,420,000"
10120,엘에스일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","30,000,000","150,000,000,000"
10130,고려아연,1차 비철금속 제조업,"18,870,000","94,350,000,000"
10140,삼성중공업,선박 및 보트 건조업,"630,000,000","3,150,574,225,000"
10400,우진아이엔에스,건물설비 설치 공사업,"7,622,000","3,811,000,000"
10420,한솔피엔에스,기타 전문 도매업,"20,493,012","10,246,506,000"
10580,지코,자동차 신품 부품 제조업,"64,581,636","32,290,818,000"
10600,웰바이오텍,상품 중개업,"43,229,886","21,614,943,000"
10620,현대미포조선,선박 및 보트 건조업,"39,942,149","199,710,745,000"
