,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,보광산업,225530,6840.0,42.22,162.0,N/A,N/A,3.64,1880.0,0.73
0,삼보모터스,053700,5120.0,N/A,-887.0,N/A,N/A,0.4,12710.0,N/A
0,세원물산,024830,6280.0,4.48,1401.0,N/A,N/A,0.27,22886.0,0.4
0,아즈텍WB,032080,1685.0,12.04,140.0,N/A,N/A,0.37,4535.0,N/A
0,에스디시스템,121890,739.0,N/A,-1214.0,N/A,N/A,0.86,857.0,N/A
0,에코바이오,038870,8500.0,10.86,783.0,N/A,N/A,1.52,5603.0,N/A
0,엠아이텍,179290,4115.0,28.58,144.0,N/A,N/A,2.6,1585.0,1.22
0,와이제이엠게임즈,193250,1800.0,N/A,-93.0,N/A,N/A,1.34,1342.0,N/A
0,유아이디,069330,1055.0,N/A,-1301.0,N/A,N/A,0.93,1135.0,N/A
0,인피니트헬스케어,071200,7190.0,26.15,275.0,N/A,N/A,2.04,3532.0,N/A
0,젬백스링크,064800,1525.0,44.85,34.0,N/A,N/A,0.84,1816.0,0.66
0,카이노스메드,284620,5000.0,N/A,-78.0,N/A,N/A,52.08,96.0,N/A
0,토박스코리아,215480,1005.0,N/A,-15.0,N/A,N/A,1.9,528.0,N/A
0,프리엠스,053160,9860.0,N/A,-3.0,N/A,N/A,1.13,8710.0,0.51
0,한독크린텍,256150,22450.0,16.57,1355.0,N/A,N/A,2.35,9567.0,0.89
0,흥구석유,024060,6730.0,12.13,555.0,N/A,N/A,1.3,5182.0,2.23
0,광진실업,026910,3160.0,N/A,-240.0,N/A,N/A,0.74,4270.0,N/A
0,대신밸런스제6호스팩,307750,2060.0,N/A,-7.0,N/A,N/A,1.08,1910.0,N/A
0,디케이락,105740,9210.0,8.97,1027.0,N/A,N/A,0.83,11044.0,2.17
0,메지온,140410,174200.0,N/A,-2574.0,N/A,N/A,39.73,4385.0,N/A
0,뷰웍스,100120,36550.0,13.86,2638.0,N/A,N/A,2.19,16660.0,1.09
0,삼성머스트스팩3호,309930,2160.0,102.86,21.0,N/A,N/A,1.18,1828.0,N/A
0,소리바다,053110,391.0,N/A,-246.0,N/A,N/A,0.92,427.0,N/A
0,아시아경제,127710,1505.0,215.0,7.0,N/A,N/A,0.38,3984.0,N/A
0,야스,255440,14250.0,17.19,829.0,N/A,N/A,1.24,11526.0,1.05
0,에이에프더블류,312610,13700.0,25.7,533.0,N/A,N/A,1.92,7124.0,0.73
