CODE,NAME,SECT.,STOCK NO.,CAPT.,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
002220,한일철강,1차 철강 제조업,"22,841,537","11,420,768,500",1790.0,N/A,-535.0,N/A,N/A,0.25,7148.0,N/A
002240,고려제강,1차 철강 제조업,"20,000,000","20,000,000,000",15950.0,56.76,281.0,N/A,N/A,0.23,69270.0,2.19
002270,롯데푸드,낙농제품 및 식용빙과류 제조업,"1,131,870","5,659,350,000",331000.0,10.09,32814.0,N/A,N/A,0.43,773121.0,3.62
002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업","8,956,502","44,782,510,000",28750.0,4.16,6919.0,N/A,N/A,0.43,66436.0,2.09
002320,한진,도로 화물 운송업,"11,974,656","59,873,280,000",46300.0,209.5,221.0,213.0,217.0,0.62,74648.0,1.08
002350,넥센타이어,고무제품 제조업,"97,667,877","54,083,938,500",5300.0,5.17,1025.0,9.0,581.0,0.35,15295.0,1.98
002360,SH에너지화학,기초 화학물질 제조업,"111,133,730","55,566,865,000",851.0,N/A,-43.0,N/A,N/A,0.98,866.0,N/A
002380,케이씨씨,기타 화학제품 제조업,"8,886,471","48,084,660,000",136000.0,N/A,-49619.0,N/A,N/A,0.27,510847.0,4.04
002390,한독,의약품 제조업,"13,763,533","6,881,766,500",38700.0,19.36,1999.0,N/A,N/A,1.58,24441.0,0.71
002410,범양건영,건물 건설업,"24,831,982","24,831,982,000",6360.0,8.26,770.0,N/A,N/A,2.22,2870.0,N/A
002420,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업","407,592","2,037,960,000",62600.0,N/A,-2758.0,N/A,N/A,1.16,53947.0,N/A
002450,삼익악기,악기 제조업,"90,530,915","45,265,457,500",1440.0,13.71,105.0,N/A,N/A,0.53,2705.0,3.47
002460,화성산업,건물 건설업,"12,450,800","62,254,000,000",12550.0,6.4,1961.0,N/A,N/A,0.4,31566.0,3.98
002600,조흥,기타 식품 제조업,"600,000","3,000,000,000",154000.0,14.37,10719.0,N/A,N/A,0.73,209871.0,3.9
002620,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업,"15,973,355","7,986,677,500",24350.0,N/A,-5519.0,N/A,N/A,0.95,25752.0,0.29
002630,오리엔트바이오,의약품 제조업,"101,798,996","50,899,498,000",837.0,N/A,-107.0,N/A,N/A,1.64,510.0,N/A
002690,동일제강,1차 철강 제조업,"15,000,000","7,500,000,000",1920.0,40.0,48.0,N/A,N/A,0.22,8611.0,0.52
002700,신일전자,기계장비 및 관련 물품 도매업,"71,047,521","35,523,760,500",1885.0,24.17,78.0,N/A,N/A,1.96,962.0,1.06
002710,TCC스틸,1차 철강 제조업,"23,000,000","23,000,000,000",2165.0,N/A,-2.0,N/A,N/A,0.42,5176.0,1.35
002720,국제약품,의약품 제조업,"18,400,520","18,400,520,000",10800.0,N/A,-103.0,N/A,N/A,2.88,3755.0,N/A
002760,보락,기타 화학제품 제조업,"59,900,000","11,980,000,000",1895.0,105.28,18.0,N/A,N/A,2.6,728.0,0.26
002780,진흥기업,토목 건설업,"145,471,745","73,311,885,500",2365.0,23.42,101.0,N/A,N/A,3.49,678.0,N/A
002790,아모레퍼시픽그룹,기타 화학제품 제조업,"82,458,180","47,997,075,000",55100.0,49.68,1109.0,65.0,848.0,1.51,36586.0,0.54
002810,삼영무역,기타 전문 도매업,"18,466,948","9,233,474,000",13200.0,7.42,1780.0,N/A,N/A,0.66,20073.0,2.53
002820,선창산업,나무제품 제조업,"12,607,989","12,607,989,000",3405.0,N/A,-2116.0,N/A,N/A,0.19,18320.0,N/A
002840,미원상사,기타 화학제품 제조업,"4,970,000","6,661,780,000",83300.0,11.32,7356.0,N/A,N/A,1.79,46653.0,0.79
